                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.6557,                 1.0834,                0.95698,                0.66892,                0.66176,                0.65625,                0.29015,                 1.9372,                 1.1383,                 1.0708,                0.00406,                0.00406,                0.00406
                     62,                 1.5989,                 1.0334,                0.94254,                0.73053,                0.58333,                 0.6404,                0.27804,                 1.9899,                 1.1504,                 1.0805,               0.003961,               0.003961,               0.003961
                     63,                 1.5806,                 1.0298,                0.93176,                 0.7131,                0.59314,                  0.661,                0.28158,                 1.9567,                 1.1989,                 1.0634,               0.003862,               0.003862,               0.003862
                     64,                 1.6331,                 1.0357,                0.95425,                0.70739,                0.58824,                0.63546,                0.26963,                 1.9564,                 1.1686,                 1.0595,               0.003763,               0.003763,               0.003763
                     65,                 1.6314,                 1.0054,                0.95445,                0.72048,                0.58824,                0.64012,                0.26597,                  2.013,                 1.1975,                 1.0946,               0.003664,               0.003664,               0.003664
                     66,                 1.5238,                0.96319,                0.93285,                0.63954,                 0.6262,                0.60167,                0.23514,                 2.0809,                 1.2315,                 1.1029,               0.003565,               0.003565,               0.003565
                     67,                 1.5734,                0.95092,                0.95193,                0.67201,                0.55392,                0.54807,                0.20495,                 2.2925,                 1.2752,                 1.1733,               0.003466,               0.003466,               0.003466
                     68,                 1.5921,                 1.0069,                0.97238,                0.67094,                0.58333,                0.57223,                0.23269,                  2.119,                 1.2385,                 1.0981,               0.003367,               0.003367,               0.003367
                     69,                 1.5119,                0.95035,                0.92614,                0.63823,                0.62265,                0.57212,                0.21525,                  2.202,                 1.2281,                 1.1268,               0.003268,               0.003268,               0.003268
                     70,                 1.5733,                0.99299,                   0.93,                0.72143,                0.53318,                0.54725,                0.21763,                 2.1887,                 1.2232,                 1.1344,               0.003169,               0.003169,               0.003169
                     71,                 1.5916,                 1.0017,                0.94541,                0.72053,                0.54902,                0.58803,                0.23195,                  2.154,                 1.1804,                 1.1377,                0.00307,                0.00307,                0.00307
                     72,                 1.5668,                0.99505,                0.93948,                0.68038,                0.59804,                0.61349,                0.26344,                 2.0159,                 1.1757,                 1.0817,               0.002971,               0.002971,               0.002971
